Gene_id	UniProt_AC	UniProt_ID	EntrezGene	symbol
Solyc00g142170.2				
Solyc00g143770.1				
Solyc00g144470.1				
Solyc00g145170.1				
Solyc00g147570.2				
Solyc00g147770.1				
Solyc00g149970.2				
Solyc00g153680.1				
Solyc00g153980.1				
Solyc00g154480.1	G5CV48	G5CV48_SOLLC		TPS27
Solyc00g154980.1				
Solyc00g156980.2				
Solyc00g157080.1				
Solyc00g157180.2				
Solyc00g160780.2				
Solyc00g163580.1				
Solyc00g164580.1				
Solyc00g164680.1				
Solyc00g165080.1				
Solyc00g165090.1				
Solyc00g165190.1				
Solyc00g166190.1				
Solyc00g166490.1				
Solyc00g166690.1				
Solyc00g167290.1				
Solyc00g167300.1				
Solyc00g167800.1				
Solyc00g168200.1				
Solyc00g170200.1				
Solyc00g170210.2				
Solyc00g170510.1				
Solyc00g171710.1				
Solyc00g171810.2				
Solyc00g172410.1				
Solyc00g173430.1				
Solyc00g174330.2				
Solyc00g174340.1	P04284	PR06_SOLLC	544123	PR1B1
Solyc00g175240.1				
Solyc00g178340.1				
Solyc00g179240.1	Q40169	Q40169_SOLLC		TDR3
Solyc00g179640.1				
Solyc00g179840.1				
Solyc00g180440.1				
Solyc00g180840.1				
Solyc00g181240.1				
Solyc00g181250.2				
Solyc00g183050.1				
Solyc00g183550.1				
Solyc00g184350.2				
Solyc00g185750.1				
Solyc00g185850.1				
Solyc00g186050.1				
Solyc00g187050.2	Q10712	AMPL1_SOLLC	544017	LAP, LAP2, LAPA1
Solyc00g188250.1	K4C614	K4C614_SOLLC		
Solyc00g188750.1				
Solyc00g188850.2				
Solyc00g192150.2				
Solyc00g195350.1				
Solyc00g195360.1				
Solyc00g196060.2	E0AD21	E0AD21_SOLLC		ARF6
Solyc00g196460.1				
Solyc00g198360.1				
Solyc00g199960.1				
Solyc00g201060.1				
Solyc00g201160.2				
Solyc00g201460.1				
Solyc00g201760.1				
Solyc00g202560.1				
Solyc00g203660.1				
Solyc00g206460.1				
Solyc00g207960.1				
Solyc00g209460.1				
Solyc00g209560.1				
Solyc00g210860.1				
Solyc00g212260.1				
Solyc00g213960.1				
Solyc00g215560.1				
Solyc00g217560.1				
Solyc00g217960.1				
Solyc00g218560.1				
Solyc00g220360.1				
Solyc00g222060.1				
Solyc00g222460.1	Q5GA69	Q5GA69_SOLLC		
Solyc00g226760.1				
Solyc00g227860.1				
Solyc00g227960.1				
Solyc00g228260.1				
Solyc00g229260.1				
Solyc00g230060.1				
Solyc00g230070.1				
Solyc00g230080.1				
Solyc00g230280.1				
Solyc00g231680.1	O48540	MAN1_SOLLC	544199	MAN1
Solyc00g231780.1				
Solyc00g233480.1				
Solyc00g237680.1				
Solyc00g240580.1				
Solyc00g244280.1				
Solyc00g244290.1				
Solyc00g244300.1				
Solyc00g245200.1				
Solyc00g246800.1				
Solyc00g247300.2				
Solyc00g249200.1				
Solyc00g249900.2				
Solyc00g249910.1				
Solyc00g254110.1				
Solyc00g254910.1				
Solyc00g255510.1				
Solyc00g256710.1				
Solyc00g257110.2				
Solyc00g263210.1				
Solyc00g265110.2				
Solyc00g265510.1				
Solyc00g266110.1				
Solyc00g268310.1				
Solyc00g269810.1				
Solyc00g270510.1				
Solyc00g272810.1				
Solyc00g273110.1				
Solyc00g275310.1				
Solyc00g277510.1				
Solyc00g278110.2				
Solyc00g280110.1				
Solyc00g281110.1				
Solyc00g282510.1				
Solyc00g283010.1				
Solyc00g283110.1				
Solyc00g284510.1				
Solyc00g286010.1				
Solyc00g286020.1				
Solyc00g286030.1				
Solyc00g287330.1				
Solyc00g289230.1				
Solyc00g294230.1				
Solyc00g294630.1				
Solyc00g297330.1				
Solyc00g300430.1				
Solyc00g300730.1				
Solyc00g303630.1				
Solyc00g304030.1				
Solyc00g304630.1				
Solyc00g306730.1				
Solyc00g306830.1				
Solyc00g308530.1				
Solyc00g308930.1				
Solyc00g309530.1				
Solyc00g311230.2				
Solyc00g313030.1				
Solyc00g313530.1				
Solyc00g313930.1				
Solyc00g316030.1				
Solyc00g316530.1				
Solyc00g316730.1				
Solyc00g318030.1				
Solyc00g318130.1				
Solyc00g318830.1				
Solyc00g320430.1				
Solyc00g322630.1				
Solyc00g322830.1				
Solyc00g323130.2				
Solyc00g324530.1				
Solyc01g005000.2	B1Q3F2	B1Q3F2_SOLLC	100147723	LeGAD3
Solyc01g005010.2	K4AS68	K4AS68_SOLLC	101263636	LOC101263636
Solyc01g005020.2	K4AS69	K4AS69_SOLLC	778208	
Solyc01g005030.2	K4AS70	K4AS70_SOLLC		
Solyc01g005040.2	K4AS71	K4AS71_SOLLC	101247154	LOC101247154
Solyc01g005050.2	K4AS72	K4AS72_SOLLC		
Solyc01g005060.2	K4AS73	K4AS73_SOLLC	101262550	LOC101262550
Solyc01g005070.2	K4AS74	K4AS74_SOLLC	104645786	LOC104645786
Solyc01g005080.2	K4AS75	K4AS75_SOLLC	101261948	LOC101261948
Solyc01g005090.2	K4AS76	K4AS76_SOLLC		
Solyc01g005100.2	K4AS77	K4AS77_SOLLC	101261647	LOC101261647
Solyc01g005110.2	K4AS78	K4AS78_SOLLC		
Solyc01g005120.2	K4AS79	K4AS79_SOLLC	101260851	LOC101260851
Solyc01g005130.2	K4AS80	K4AS80_SOLLC	101260165	LOC101260165
Solyc01g005140.2	K4AS81	K4AS81_SOLLC	101259871	LOC101259871
Solyc01g005150.2	K4AS82	K4AS82_SOLLC	101259568	LOC101259568
Solyc01g005160.2	Q1WM08	Q1WM08_SOLLC	778346	CMPG1
Solyc01g005170.1	K4AS84	K4AS84_SOLLC		
Solyc01g005180.1	K4AS85	K4AS85_SOLLC		
Solyc01g005190.1	K4AS86	K4AS86_SOLLC	101246274	LOC101246274
Solyc01g005200.1	K4AS87	K4AS87_SOLLC	101245979	LOC101245979
Solyc01g005210.2	K4AS88	K4AS88_SOLLC	101259279	LOC101259279
Solyc01g005220.2	K4AS89	K4AS89_SOLLC	101258984	LOC101258984
Solyc01g005230.2	K4AS90	K4AS90_SOLLC	101245689	LOC101245689
